Brand,Model,Reference number,Movement,Case material,Bracelet material,Year of production,Scope of delivery,Gender,Location,Price,Availability,Caliber/movement,Base caliber,Power reserve,Number of jewels,Case diameter,Water resistance,Bezel material,Crystal,Dial,Dial numerals,Bracelet color,Clasp,Clasp material,url
Rolex,GMT-Master II,126710GRNR (Bruce Wayne),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$21,550",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-gmt-master-ii--id44095503.htm
Rolex,Datejust 41,126334,Automatic,White gold,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Fort Lauderdale","$14,795",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Blue,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/in-stock-2024-datejust-41-blue-roman-dial-126334-oyster-bracelet--id40033110.htm
Rolex,Daytona,126519LN-0006,Automatic,White gold,Rubber,2026,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$59,590",Item is in stock,4131,4030,72 h,44,40 mm,10 ATM,Ceramic,Sapphire crystal,Silver,No numerals,Black,Fold clasp,White Gold,https://www.chrono24.com/rolex/rolex-new-2025-daytona-40mm-126519-white-gold-oysterflex-silver-ghost-dial--id44009106.htm
Rolex,Daytona,126509,Automatic,White gold,White gold,2026,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$59,890",Item is in stock,4131,,72 h,31,40 mm,10 ATM,White gold,Sapphire crystal,Blue,No numerals,Grey,Fold clasp,White Gold,https://www.chrono24.com/rolex/rolex-new-2026-daytona-40mm-126509-white-gold-blue-dial--id45189203.htm
Rolex,Day-Date 40,228235,Automatic,Rose gold,Rose gold,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$64,780",Item is in stock,3255,"3255, Manufacture Rolex",70 h,31,40 mm,10 ATM,Rose gold,Sapphire crystal,Grey,Roman numerals,Gold,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/rolex-new-2025-day-date-40mm-228235-presidential-18kt-rose-gold-slate-ombre-dial--id44312505.htm
Rolex,Daytona,126500ln,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Winchester","$33,144",Item is in stock,Calibre 4131,4131,72 h,44,40 mm,10 ATM,Ceramic,Sapphire crystal,White,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/new-2025-daytona-black-dial--id40874302.htm
Rolex,Explorer,224270 (Arabic Dial),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$9,480",Item is in stock,3230,3132,70 h,31,40 mm,10 ATM,Steel,Sapphire crystal,Black,Arabic numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-2025-rolex-explorer-40mm---224270--id45018566.htm
Rolex,Submariner Date,116610LV,Automatic,Steel,Steel,2020,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$24,995",Item is in stock,3135,cal. 3135,48 h,31,40 mm,30 ATM,Ceramic,Sapphire crystal,Green,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-unpolished-2020-submariner-date-hulk-116610lv-like-new--id44704719.htm
Rolex,Datejust 31,278343RBR,Automatic,Gold/Steel,Gold/Steel,2026,"Original box, original papers",Women's watch,"United States of America, Nevada, Las Vegas","$24,700",Item is in stock,2236,,55 h,31,31 mm,10 ATM,Yellow gold,Sapphire crystal,Green,Gemstones,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-datejust-31--id43174603.htm
Rolex,GMT-Master II,116710LN (GMT-Master II black bezel),Automatic,Steel,Steel,2017,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Laguna Beach","$15,200 [Negotiable]",Item is in stock,3186,Rolex 3186,48 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-gmt-master-ii-green-arrow-2017-40mm-steel-case-black-dial-black-ceramic-bezel-oyster--id43578477.htm
Rolex,Submariner Date,126618LB (Submariner Ceramic Bezel Light),Automatic,Yellow gold,Yellow gold,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$42,300 [Negotiable]",Item is in stock,3235,,70 h,31,41 mm,30 ATM,Ceramic,Sapphire crystal,Blue,No numerals,Gold,Fold clasp,Yellow gold,https://www.chrono24.com/rolex/submariner-date-gold-bluesy-126618lb-full-set--id31816748.htm
Rolex,Datejust,126334,Automatic,"Gold/Steel, Silver, Steel, White gold, White gold and steel","Gold/Steel, Satin, Steel, White gold","2021, 2022, 2023, 2024, 2025",,Men's watch/Unisex,Germany; Netherlands; UAE; United Kingdom; United States of America,,,3235,,,,41.0 mm,10 ATM,,Sapphire crystal,"Black, Blue, Green, Grey, White",,"Gold/Steel, Grey, Silver, Steel, White",,"Gold/Steel, Silver, Steel, White Gold",https://www.chrono24.com/rolex/rolex-datejust-41--id44688679.htm
Rolex,Sky-Dweller,336933,Automatic,Gold/Steel,Gold/Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$27,350",Item is in stock,9002,9002,72 h,40,42 mm,10 ATM,Yellow gold,Sapphire crystal,Champagne,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-new-2025-sky-dweller-42mm-336933-jubilee-champagne-dial--id44480112.htm
Rolex,Submariner Date,126610lv,Automatic,Steel,Steel,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, Rhode Island, Newport","$15,500",Item is in stock,3235,cal. 3135,70 h,31,41 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner-date-41mm-starbucks-unworn-2023-automatic-126610lv--id41847961.htm
Rolex,Submariner Date,126610lv,Automatic,Steel,Steel,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$15,847",Item is in stock,3235,cal. 3135,70 h,31,41 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-rolex-submariner-starbucks-mint-2022-full-set-126610lv-0002--id42816569.htm
Rolex,Oyster Perpetual Date,15200 (Oyster Perpetual Vintage),Automatic,Steel,Steel,1990,"No original box, no original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$4,780",Item is in stock,3135,cal. 3135,48 h,31,34 mm,10 ATM,Steel,Sapphire crystal,Silver,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-1990-rolex-oyster-perpetual-date-34mm---15200-silver--id45142743.htm
Rolex,Lady-Datejust,279138RBR,Automatic,Yellow gold,Yellow gold,2020,"Original box, original papers",Women's watch,"United States of America, Nevada, Las Vegas","$39,900",Item is in stock,2236,Rolex 3135,55 h,31,28 mm,10 ATM,Yellow gold,Sapphire crystal,Champagne,No numerals,Gold,Fold clasp,Yellow gold,https://www.chrono24.com/rolex/rolex-lady-datejust--id44949253.htm
Rolex,Lady-Datejust,69173,Automatic,Gold/Steel,Gold/Steel,1986,"Original box, original papers",Women's watch,"United States of America, California, Los Angeles","$6,995",Item is in stock,2135,Cal. 2135,40 h,29,26 mm,10 ATM,Yellow gold,Sapphire crystal,Champagne,No numerals,Gold/Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-excellent-condition-1986-lady-datejust-2-tone-jubilee-champagne-linen-dial-69173--id44951046.htm
Rolex,Daytona,126508,Automatic,Yellow gold,Yellow gold,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$92,215",Item is in stock,4131,4131,72 h,31,40 mm,10 ATM,Yellow gold,Sapphire crystal,Green,No numerals,Gold,Fold clasp,Yellow gold,https://www.chrono24.com/rolex/rolex-new-2025-daytona-john-mayer-40mm-126508-yellow-gold-green-dial--id44883190.htm
Rolex,Datejust 41,126334,Automatic,Steel,Steel,2020,"No original box, no original papers",Men's watch/Unisex,"United States of America, California, San Juan Capistrano","$9,995",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Silver,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-datejust-41--id44617228.htm
Rolex,Sea-Dweller Deepsea,116660,Automatic,Steel,Steel,2018,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Fort Lauderdale","$12,795",Item is in stock,3135,Rolex 3135,48 h,31,44 mm,Over 120 ATM,Ceramic,Sapphire crystal,Blue,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-in-stock-sea-dweller-deepsea--james-camron-stainless-steel-oyster-band--id44912880.htm
Rolex,Explorer II,226570-0002,Automatic,Steel,Steel,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Moorpark, California","$13,575 [Negotiable]",Item is in stock,Rolex Caliber 3285,None,70 h,31,42 mm,10 ATM,Steel,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-explorer-ii-42mm-black-dial-gmt-stainless-steel-automatic-mens-watch-m226570-0002--id43748300.htm
Rolex,Datejust 41,126333,Automatic,Steel,Gold/Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$19,425",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,Yellow gold,Sapphire crystal,White,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/new-datejust-41mm-126333-white-index-dial-jubilee-bracelet-fluted-bezel-yellow-gold--id12839332.htm
Rolex,Day-Date 40,228239 (Day-Date Roman numerals),Automatic,White gold,White gold,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Los Angeles","$47,550",Item is in stock,3255,cal. 3135,70 h,31,40 mm,10 ATM,White gold,Sapphire crystal,Green,Roman numerals,Gold,Fold clasp,White Gold,https://www.chrono24.com/rolex/unworn-2024-228239-day-date-40mm-18kt-white-gold-on-olive-green-roman-dial--id39851510.htm
Rolex,Day-Date 40,228239 (Day-Date Roman numerals),Automatic,White gold,White gold,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$49,000 [Negotiable]",Item is in stock,3255,,70 h,31,40 mm,10 ATM,White gold,Sapphire crystal,Green,Roman numerals,Gold,Fold clasp,White Gold,https://www.chrono24.com/rolex/rolex-day-date-40-white-gold-olive-green-roman-dial-fluted--id12875237.htm
Rolex,Day-Date 40,228235,Automatic,Rose gold,Rose gold,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$62,500",Item is in stock,3255,"3255, Manufacture Rolex",70 h,31,40 mm,10 ATM,Rose gold,Sapphire crystal,Green,Roman numerals,Gold,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/2025-day-date-40-presidential-olive-rose-gold-228235-new-unworn-full-set--id37588036.htm
Rolex,Oyster Perpetual 36,126000,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, Brooklyn","$9,275 [Negotiable]",Item is in stock,3230,Rolex 3235,70 h,31,36 mm,10 ATM,Steel,Sapphire crystal,Silver,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-oyster-perpetual-126000-36mm-silver-dial-unworn-2024--id26214305.htm
Rolex,Submariner (No Date),5513,Automatic,Steel,Steel,1967 (Approximation),"Original box, no original papers",Men's watch/Unisex,"United States of America, New York, new york city","$8,650",Item is in stock,1520,cal. 3135,48 h,26,40 mm,20 ATM,Steel,Plexiglass,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-1967-submariner-no-date-5513-meters-first-black-dial-brown-leather-40mm--id44936903.htm
Rolex (Guaranteed Authentic),Oyster Perpetual Date,1503 (Jubilee),Automatic,Yellow gold,Yellow gold,Unknown,"No original box, no original papers",Men's watch/Unisex,"United States of America, New York, Massapequa Park","$10,393",Item is in stock,,,,,34 mm,,Yellow gold,Plexiglass,Silver,,Gold,,,https://www.chrono24.com/rolex/vintage-rolex-oyster-perpetual-date-34mm-silver-14k-yellow-gold-jubilee-1503--id43337944.htm
Rolex,Cellini Moonphase,50535 (Everose),Automatic,Rose gold,Leather,Unknown,"No original box, no original papers",Men's watch/Unisex,"Hong Kong, hongkong","HK$170,500 (= $22,338) [Negotiable]",Item needs to be procured,3195,,48 h,31,39 mm,5 ATM,Rose gold,Sapphire crystal,White,No numerals,Brown,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/rolex-cellini-moonphase--id44238261.htm
Rolex,Submariner Date,116613LN,Automatic,Gold/Steel,Gold/Steel,2009 (Approximation),"Original box, no original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$16,495",Item is in stock,3135,Rolex 3135,48 h,31,40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-excellent-condition-submariner-date-2-tone-black-diamond-dial-116613ln--id44563252.htm
Rolex,Daytona,116520 (Daytona (1988-2015)),Automatic,Steel,Steel,2004,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$24,995",Item is in stock,4130,Rolex 4130,72 h,44,40 mm,10 ATM,Steel,Sapphire crystal,White,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-unpolished-2004-cosmograph-daytona-steel-white-dial-116520-excellent-condition--id44125741.htm
Rolex,Submariner Date,126610LN (Submariner Ceramic Bezel Dark),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Austin","$15,449",Item is in stock,3235,3235,70 h,31,41 x 40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/submariner-date--id39548986.htm
Rolex,Sea-Dweller,126603,Automatic,Gold/Steel,Gold/Steel,2021,"Original box, original papers",Men's watch/Unisex,"United States of America, New York","$16,899 [Negotiable]",Item is in stock,3235,3235,70 h,31,43 mm,Over 120 ATM,Ceramic,Sapphire crystal,Black,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/sea-dweller-43mm-two-tone-steel-and-gold-126603--id44524538.htm
Rolex,Explorer,224270 (Arabic Dial),Automatic,Steel,Steel,2026,"Original box, original papers",Men's watch/Unisex,"United States of America, New Hampshire, Salem","$11,850",Item is in stock,3230,,70 h,31,40 x 47 mm,10 ATM,Steel,Sapphire crystal,Black,Arabic numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-explorer-new-2025-may-224270-black-oyster-steel-40-mm--id32191626.htm
Rolex,Day-Date 40,228235,Automatic,Rose gold,Rose gold,2021,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$57,000 [Negotiable]",Item is in stock,3255,"3255, Manufacture Rolex",70 h,31,40 mm,10 ATM,Rose gold,Sapphire crystal,Brown,Roman numerals,Gold,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/rolex-day-date-40-rose-gold-chocolate-roman-dial-fluted-bezel-228235--id12898875.htm
Rolex,GMT-Master II,126710BLNR,Automatic,Steel,Steel,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, Hoboken, NJ","$17,200",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/gmt-master-ii--id45172533.htm
Rolex,Day-Date 36,18038,Automatic,Yellow gold,Leather,1969,"No original box, no original papers",Men's watch/Unisex,"United States of America, Texas, Houston","$16,950",Item is in stock,,,,,36 mm,10 ATM,Yellow gold,Sapphire crystal,Brown,No numerals,Gold,"Fold clasp, hidden",Yellow gold,https://www.chrono24.com/rolex/rolex-day-date-36--id45008131.htm
Rolex,Oyster Perpetual,134300,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$11,750",Item is in stock,3230,Rolex 3135,70 h,31,41 mm,10 ATM,Steel,Sapphire crystal,Champagne,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-oyster-perpetual--stainless-dial-2025--id44816877.htm
Rolex,Submariner Date,116613LN,Automatic,Gold/Steel,Gold/Steel,Unknown,"Original box, no original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$13,995",Item is in stock,3135,Rolex 3135,48 h,31,40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-like-new-submariner-date-2-tone-oyste-black-dial-116613ln--id44994123.htm
Rolex,Oyster Perpetual,134300,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$12,595",Item is in stock,3230,Rolex 3135,70 h,31,41 mm,10 ATM,Steel,Sapphire crystal,Green,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/in-stock-2025-oyster-perpetual-pistachio-dial-new-release-stainless-oyster--id45103545.htm
Rolex,Datejust 41,126334,Automatic,Steel,Steel,2021,"Original box, original papers",Men's watch/Unisex,"United States of America, Miami","$15,250",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Blue,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/datejust-41--id45075076.htm
Rolex,GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,Unknown,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York City","$21,750 [Negotiable]",Item is in stock,3285,Rolex 3285,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/gmt-master-ii--id41969159.htm
Rolex,Yacht-Master 37,268622-0002 (Yacht-Master 35mm),Automatic,Steel,Steel,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, Texas, Austin","$13,250",Item is in stock,Rolex 2236,,,,37 x 43 mm,10 ATM,Platinum,Sapphire crystal,,,Steel,Fold clasp,,https://www.chrono24.com/rolex/yacht-master-37--id43568770.htm
Rolex,Datejust 36,126234,Automatic,Steel,Steel,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$12,599",Item is in stock,3235,"3135, Manufacture Rolex",70 h,31,36 mm,10 ATM,White gold,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/datejust-36-black-dial--id30833589.htm
Rolex,GMT-Master II,126710BLNR (Batman),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, New Jersey, Totowa","$18,999 [Negotiable]",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-gmt-master-ii--id44924312.htm
Rolex,Submariner Date,116619LB (Submariner Ceramic Bezel Light),Automatic,White gold,White gold,2018,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$46,495",Item is in stock,3135,3135,50 h,31,40 mm,30 ATM,Ceramic,Sapphire crystal,Blue,No numerals,Gold,Fold clasp,White Gold,https://www.chrono24.com/rolex/rolex-like-new-2018-submariner-date-white-gold-smurf-116619lb--id44563383.htm
Rolex,Daytona,116500LN (Daytona (from 2016)),Automatic,Steel,Steel,2020,"Original box, original papers",Men's watch/Unisex,"United States of America, New York","$28,499 [Negotiable]",Item is in stock,4130,4130,72 h,44,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/daytona-black-dial-40mm-stainless-steel-ceramic-bezel-116500ln--id45008001.htm
Rolex,Air King,14000,Automatic,Steel,Steel,1996,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$6,995",Item is in stock,3000,3135,42 h,27,34 mm,10 ATM,Steel,Sapphire crystal,Blue,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-excellent-condition-1996-air-king-369-blue-dial-14000--id43912469.htm
Rolex,Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$18,799",Item is in stock,3235,Rolex 3135,70 h,31,36 mm,10 ATM,Yellow gold,Sapphire crystal,Green,,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-datejust-36-green-diamonds-69--id38511018.htm
Rolex,GMT-Master II,126720VTNR (Sprite),Automatic,Steel,Steel,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, Patchogue","$16,700 [Negotiable]",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-2023-gmt-master-ii-sprite-stainless-steel-40mm-watch-126720vtnr--id43627128.htm
Rolex,Sky-Dweller,326934,Automatic,Steel,Steel,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$21,525",Item is in stock,9001,3135,72 h,40,42 mm,10 ATM,White gold,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-unworn-326934-sky-dweller-black-dial-stainless-steel-42mm-oyster-bracelet--id12078714.htm
Rolex,Oyster Perpetual 39,114300,Automatic,Steel,Steel,2018,"Original papers, no original box",Men's watch/Unisex,"United States of America, New York, New York","$8,949",Item is in stock,3132,3132,48 h,31,39 mm,10 ATM,Steel,Sapphire crystal,Grey,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-oyster-perpetual-39mm--id44719325.htm
Rolex,Cellini Dual Time,50525 (Everose),Automatic,Rose gold,Crocodile skin,2015,"Original box, original papers",Men's watch/Unisex,"United States of America, Texas, Houston","$15,750",Item is in stock,3180,,48 h,31,39 mm,5 ATM,Rose gold,Sapphire crystal,Black,No numerals,,Buckle,Rose Gold,https://www.chrono24.com/rolex/rolex-cellini-dual-time--id42799141.htm
Rolex,Lady-Datejust,69173,Automatic,Steel,Gold/Steel,1991,"Original box, no original papers",Women's watch,"United States of America, California, Los Angeles","$5,495",Item is in stock,2135,Cal. 2135,40 h,29,26 mm,10 ATM,Yellow gold,Sapphire crystal,White,Roman numerals,Gold/Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-very-good-condition-1991-lady-datejust-2-tone-jubilee-ivory-pyramid-dial-69173--id45190360.htm
Rolex,Sky-Dweller,326934,Automatic,Steel,Steel,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$21,299",Item is in stock,9001,3135,72 h,40,42 mm,10 ATM,White gold,Sapphire crystal,Blue,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/sky-dweller-blue-dial-oyster--id25075234.htm
Rolex,Submariner (No Date),114060 (Submariner Ceramic Bezel Dark),Automatic,Silver,Steel,2017,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Newport Beach","$11,495",Item is in stock,3130,3130,48 h,31,40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner-no-date--id44871912.htm
Rolex,Oyster Perpetual Lady Date,6516 (Oyster Perpetual Vintage),Automatic,Steel,Steel,1971 (Approximation),"No original box, no original papers",Women's watch,"United States of America, Florida, Miami","$2,699",Item is in stock,1161,,,,26 mm,,Steel,Plastic,Grey,No numerals,Silver,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-oyster-perpetual-date-6516-26mm-stainless-steel--id44058743.htm
Rolex,Datejust II,116333,Automatic,Gold/Steel,Gold/Steel,2015,"Original box, original papers",Men's watch/Unisex,"United States of America, New York","$13,899 [Negotiable]",Item is in stock,3136,Rolex 3135,48 h,31,41 mm,10 ATM,Yellow gold,Sapphire crystal,Grey,Roman numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/datejust-ii-wimbledon-dial-41mm-two-tone-gold-and-steel-116333--id44619273.htm
Rolex,Submariner (No Date),14060M (Submariner (1990-2010)),Automatic,Steel,Steel,1998,"Original box, original papers",Men's watch/Unisex,"United States of America, San Antonio","$10,799",Item is in stock,3130,3130,48 h,31,40 mm,30 ATM,Steel,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/submariner--id44949345.htm
Rolex,Oyster Perpetual 36,126000,Automatic,Steel,Steel,2023 (Approximation),"Original box, original papers",Men's watch/Unisex,"United States of America, New York, Coram","$9,650",Item is in stock,3230,Rolex 3235,70 h,31,36 mm,10 ATM,Steel,Sapphire crystal,Green,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-oyster-perpetual-36--id44855667.htm
Rolex,GMT-Master II,126715CHNR,Automatic,Rose gold,Rose gold,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$43,495",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Gold,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/rolex-unpolished-2023-gmt-master-ii-rose-gold-root-beer-126715chnr--id44756462.htm
Rolex,Datejust 41,126300-0007,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$12,725",Item is in stock,,,,,41 mm,10 ATM,Steel,Sapphire crystal,Grey,Roman numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-new-datejust-41mm-126300-wimbledon-roman-dial-oyster-bracelet-stainless--id12583443.htm
Rolex,Yacht-Master II,116680,Automatic,Steel,Steel,2014,"Original box, original papers",Men's watch/Unisex,"United States of America, San Antonio","$15,950",Item is in stock,4161,4130,72 h,42,44 mm,10 ATM,Ceramic,Sapphire crystal,White,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/yacht-master-ii--id42800988.htm
Rolex,Datejust 41,126300-0017 (Datejust smooth bezel),Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Moorpark, California","$12,550 [Negotiable]",Item is in stock,Rolex Caliber 3235,None,70 h,31,41 mm,10 ATM,Steel,Sapphire crystal,Blue,Roman numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-datejust-41mm-blue-dial-stainless-steel-oyster-bracelet-automatic-mens-watch-126300-0017--id43786142.htm
Rolex,Lady-Datejust,279174,Automatic,Steel,Steel,2025,"Original box, original papers",Women's watch,"United States of America, California, Newport Beach","$8,595",Item is in stock,2236,Rolex 2235,55 h,31,28 mm,10 ATM,White gold,Sapphire crystal,Grey,,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-lady-datejust--id44871938.htm
Rolex,Datejust 41,126334,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$20,900",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Grey,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-new-2025-datejust-41mm-126334-stainless-steel-jubilee-rhodium-diamond-dial--id43023085.htm
